event_id,kind,timestamp,amount,currency,src_account,dst_account,merchant_id,channel,auth_result,txn_status
AMLSIM-0,transaction,1483209000,100.0,USD,0,19,,TRANSFER,SUCCESS,POSTED
AMLSIM-1,transaction,1483295400,101.0,USD,0,211,,TRANSFER,SUCCESS,POSTED
AMLSIM-2,transaction,1483381800,102.0,USD,1,64,,TRANSFER,SUCCESS,POSTED
AMLSIM-3,transaction,1483468200,103.0,USD,1,26,,TRANSFER,SUCCESS,POSTED
AMLSIM-4,transaction,1483554600,104.0,USD,1,164,,TRANSFER,SUCCESS,POSTED
AMLSIM-5,transaction,1483641000,105.0,USD,1,31,,TRANSFER,SUCCESS,POSTED
AMLSIM-6,transaction,1483727400,106.0,USD,1,81,,TRANSFER,SUCCESS,POSTED
AMLSIM-7,transaction,1483813800,107.0,USD,1,11,,TRANSFER,SUCCESS,POSTED
AMLSIM-8,transaction,1483900200,108.0,USD,1,13,,TRANSFER,SUCCESS,POSTED
AMLSIM-9,transaction,1483986600,109.0,USD,1,55,,TRANSFER,SUCCESS,POSTED
AMLSIM-10,transaction,1484073000,110.0,USD,1,174,,TRANSFER,SUCCESS,POSTED
AMLSIM-11,transaction,1484159400,111.0,USD,1,584,,TRANSFER,SUCCESS,POSTED
AMLSIM-13,transaction,1484332200,113.0,USD,2,99,,TRANSFER,SUCCESS,POSTED
AMLSIM-14,transaction,1484418600,114.0,USD,2,17,,TRANSFER,SUCCESS,POSTED
AMLSIM-15,transaction,1484505000,115.0,USD,2,328,,TRANSFER,SUCCESS,POSTED
AMLSIM-16,transaction,1484591400,116.0,USD,2,57,,TRANSFER,SUCCESS,POSTED
AMLSIM-17,transaction,1484677800,117.0,USD,2,34,,TRANSFER,SUCCESS,POSTED
AMLSIM-19,transaction,1484850600,119.0,USD,2,126,,TRANSFER,SUCCESS,POSTED
AMLSIM-20,transaction,1484937000,120.0,USD,2,333,,TRANSFER,SUCCESS,POSTED
AMLSIM-21,transaction,1485023400,121.0,USD,3,275,,TRANSFER,SUCCESS,POSTED
AMLSIM-22,transaction,1485109800,122.0,USD,3,41,,TRANSFER,SUCCESS,POSTED
AMLSIM-23,transaction,1485196200,123.0,USD,3,40,,TRANSFER,SUCCESS,POSTED
AMLSIM-24,transaction,1485282600,124.0,USD,3,62,,TRANSFER,SUCCESS,POSTED
AMLSIM-25,transaction,1485369000,125.0,USD,3,133,,TRANSFER,SUCCESS,POSTED
AMLSIM-26,transaction,1485455400,126.0,USD,3,18,,TRANSFER,SUCCESS,POSTED
AMLSIM-27,transaction,1485541800,127.0,USD,3,946,,TRANSFER,SUCCESS,POSTED
AMLSIM-28,transaction,1485628200,128.0,USD,3,1254,,TRANSFER,SUCCESS,POSTED
AMLSIM-29,transaction,1485714600,129.0,USD,3,70,,TRANSFER,SUCCESS,POSTED
AMLSIM-30,transaction,1485801000,130.0,USD,3,16,,TRANSFER,SUCCESS,POSTED
AMLSIM-31,transaction,1485887400,131.0,USD,3,100,,TRANSFER,SUCCESS,POSTED
AMLSIM-32,transaction,1485973800,132.0,USD,3,30,,TRANSFER,SUCCESS,POSTED
AMLSIM-33,transaction,1486060200,133.0,USD,3,163,,TRANSFER,SUCCESS,POSTED
AMLSIM-34,transaction,1486146600,134.0,USD,3,52,,TRANSFER,SUCCESS,POSTED
AMLSIM-35,transaction,1486233000,135.0,USD,3,61,,TRANSFER,SUCCESS,POSTED
AMLSIM-36,transaction,1486319400,136.0,USD,3,322,,TRANSFER,SUCCESS,POSTED
AMLSIM-37,transaction,1486405800,137.0,USD,3,76,,TRANSFER,SUCCESS,POSTED
AMLSIM-38,transaction,1486492200,138.0,USD,3,144,,TRANSFER,SUCCESS,POSTED
AMLSIM-39,transaction,1486578600,139.0,USD,3,13,,TRANSFER,SUCCESS,POSTED
AMLSIM-40,transaction,1486665000,140.0,USD,3,29,,TRANSFER,SUCCESS,POSTED
AMLSIM-41,transaction,1486751400,141.0,USD,3,103,,TRANSFER,SUCCESS,POSTED
AMLSIM-42,transaction,1486837800,142.0,USD,3,389,,TRANSFER,SUCCESS,POSTED
AMLSIM-43,transaction,1486924200,143.0,USD,3,969,,TRANSFER,SUCCESS,POSTED
AMLSIM-44,transaction,1487010600,144.0,USD,3,19,,TRANSFER,SUCCESS,POSTED
AMLSIM-45,transaction,1487097000,145.0,USD,3,43,,TRANSFER,SUCCESS,POSTED
AMLSIM-46,transaction,1487183400,146.0,USD,3,28,,TRANSFER,SUCCESS,POSTED
AMLSIM-47,transaction,1487269800,147.0,USD,3,238,,TRANSFER,SUCCESS,POSTED
AMLSIM-48,transaction,1487356200,148.0,USD,3,60,,TRANSFER,SUCCESS,POSTED
AMLSIM-49,transaction,1487442600,149.0,USD,3,125,,TRANSFER,SUCCESS,POSTED
AMLSIM-50,transaction,1487529000,150.0,USD,3,102,,TRANSFER,SUCCESS,POSTED
AMLSIM-51,transaction,1487615400,151.0,USD,3,91,,TRANSFER,SUCCESS,POSTED
AMLSIM-52,transaction,1487701800,152.0,USD,3,217,,TRANSFER,SUCCESS,POSTED
AMLSIM-53,transaction,1487788200,153.0,USD,3,1024,,TRANSFER,SUCCESS,POSTED
AMLSIM-54,transaction,1487874600,154.0,USD,3,65,,TRANSFER,SUCCESS,POSTED
AMLSIM-55,transaction,1487961000,155.0,USD,3,530,,TRANSFER,SUCCESS,POSTED
AMLSIM-56,transaction,1488047400,156.0,USD,3,11,,TRANSFER,SUCCESS,POSTED
AMLSIM-57,transaction,1488133800,157.0,USD,3,1367,,TRANSFER,SUCCESS,POSTED
AMLSIM-58,transaction,1488220200,158.0,USD,3,20,,TRANSFER,SUCCESS,POSTED
AMLSIM-59,transaction,1488306600,159.0,USD,3,117,,TRANSFER,SUCCESS,POSTED
AMLSIM-60,transaction,1488393000,160.0,USD,3,357,,TRANSFER,SUCCESS,POSTED
AMLSIM-61,transaction,1488479400,161.0,USD,3,56,,TRANSFER,SUCCESS,POSTED
AMLSIM-62,transaction,1488565800,162.0,USD,3,474,,TRANSFER,SUCCESS,POSTED
AMLSIM-63,transaction,1488652200,163.0,USD,3,15,,TRANSFER,SUCCESS,POSTED
AMLSIM-64,transaction,1488738600,164.0,USD,3,157,,TRANSFER,SUCCESS,POSTED
AMLSIM-65,transaction,1488825000,165.0,USD,4,33,,TRANSFER,SUCCESS,POSTED
AMLSIM-66,transaction,1488911400,166.0,USD,4,27,,TRANSFER,SUCCESS,POSTED
AMLSIM-67,transaction,1488997800,167.0,USD,4,338,,TRANSFER,SUCCESS,POSTED
AMLSIM-68,transaction,1489084200,168.0,USD,4,16,,TRANSFER,SUCCESS,POSTED
AMLSIM-69,transaction,1489170600,169.0,USD,4,7,,TRANSFER,SUCCESS,POSTED
AMLSIM-70,transaction,1489257000,170.0,USD,4,67,,TRANSFER,SUCCESS,POSTED
AMLSIM-71,transaction,1489343400,171.0,USD,4,446,,TRANSFER,SUCCESS,POSTED
AMLSIM-72,transaction,1489429800,172.0,USD,4,714,,TRANSFER,SUCCESS,POSTED
AMLSIM-73,transaction,1489516200,173.0,USD,4,941,,TRANSFER,SUCCESS,POSTED
AMLSIM-74,transaction,1489602600,174.0,USD,4,54,,TRANSFER,SUCCESS,POSTED
AMLSIM-75,transaction,1489689000,175.0,USD,4,23,,TRANSFER,SUCCESS,POSTED
AMLSIM-76,transaction,1489775400,176.0,USD,4,38,,TRANSFER,SUCCESS,POSTED
AMLSIM-77,transaction,1489861800,177.0,USD,4,57,,TRANSFER,SUCCESS,POSTED
AMLSIM-78,transaction,1489948200,178.0,USD,4,336,,TRANSFER,SUCCESS,POSTED
AMLSIM-79,transaction,1490034600,179.0,USD,4,599,,TRANSFER,SUCCESS,POSTED
AMLSIM-80,transaction,1490121000,180.0,USD,4,18,,TRANSFER,SUCCESS,POSTED
AMLSIM-81,transaction,1490207400,181.0,USD,4,968,,TRANSFER,SUCCESS,POSTED
AMLSIM-82,transaction,1490293800,182.0,USD,4,73,,TRANSFER,SUCCESS,POSTED
AMLSIM-83,transaction,1490380200,183.0,USD,4,41,,TRANSFER,SUCCESS,POSTED
AMLSIM-84,transaction,1490466600,184.0,USD,4,1202,,TRANSFER,SUCCESS,POSTED
AMLSIM-85,transaction,1490553000,185.0,USD,4,50,,TRANSFER,SUCCESS,POSTED
AMLSIM-86,transaction,1490639400,186.0,USD,4,26,,TRANSFER,SUCCESS,POSTED
AMLSIM-87,transaction,1490725800,187.0,USD,4,312,,TRANSFER,SUCCESS,POSTED
